asset_id,type,name,source,maintenance_note
YD-001,yard,permanent Nawat rail shell,index.html:1001-1002,Owns #conversion-rail-block and #calc-guidance.
YD-002,yard,desktop rail grid slot,style.css:255-307,Places rail under Entrada right of Derivada and above Salida.
YD-003,yard,patientivo tronco candidate yard,src/ui/rendering/rendering.js:4445-4490,Collects stripped stems before rendering conversion rail.
TRK-RN-001,track,ordinary Nawat movement,src/ui/rendering/rendering.js:806-853,Entrada to optional derivation to selected tense.
TRK-RN-002,track,patientivo branch movement,src/ui/rendering/rendering.js:829-839,Entrada to S patientivo selected branch.
TRK-RN-003,track,patientivo tronco conversion approach,src/ui/rendering/rendering.js:4503-4651,Visible only when activePatientivoBranch is tronco-verbal.
TRK-RN-004,track,active conversion route,src/ui/rendering/rendering.js:893-932,Clickable surface trail from source through branch/stem/conversion to finite output.
TRK-CONV-001,track,-ti preterit,data/static_modes.json:18-37,denominal-vi-ti-preterit to -tik.
TRK-CONV-002,track,-ti perfect,data/static_modes.json:38-57,denominal-vi-ti-perfect to -tituk.
TRK-CONV-003,track,-na preterit,data/static_modes.json:58-77,denominal-vt-na-preterit to -naj.
TRK-CONV-004,track,-na perfect,data/static_modes.json:78-97,denominal-vt-na-perfect to -najtuk.
ST-RN-001,station,Entrada/source chip,src/ui/rendering/rendering.js:812-818,Click opens input panel.
ST-RN-002,station,derivation stop,src/ui/rendering/rendering.js:781-805,Click opens derivation panel.
ST-RN-003,station,destination tense,src/ui/rendering/rendering.js:829-850,Click opens output panel.
ST-RN-004,station,S patientivo branch selector,src/ui/rendering/rendering.js:317-394,Dropdown station for four patientivo substations.
ST-PAT-001,station,pasivo/impersonal substation,src/ui/rendering/rendering.js:203-208,Uses nonactive source scope.
ST-PAT-002,station,perfectivo substation,src/ui/rendering/rendering.js:203-208,Uses active source scope.
ST-PAT-003,station,imperfectivo substation,src/ui/rendering/rendering.js:203-208,Uses active source scope.
ST-PAT-004,station,tronco verbal substation,src/ui/rendering/rendering.js:203-208,Exposes conversion switch when eligible stems exist.
ST-RN-005,station,stem station,src/ui/state.js:1424-1436,Exposes stripped patientivo stem such as pusuk.
ST-RN-006,station,verbalized input station,src/ui/state.js:1437-1449,Shows verbalized input such as (pusuk)-(na).
ST-RN-007,station,finite surface station,src/ui/state.js:1463-1470,Shows final output such as pusuknajtuk.
SW-RN-001,switch,patientivo branch switch,src/ui/rendering/rendering.js:246-315,Changes branch state and rerenders patientivo.
SW-RN-002,switch,conversion fast-track switch,src/ui/rendering/rendering.js:4547-4630,Activates one of four denominal verb routes.
SW-RN-003,switch,active station navigation,src/ui/state.js:1748-1814,Moves forward/back along active breadcrumb stations.
SG-RN-001,signal,V/S mode marker,src/ui/rendering/rendering.js:510-529,Preserves verb/noun identity inside rail chips.
SG-RN-002,signal,active patientivo branch state,script.js:1081-1084,Declared route-state signal defaults to tronco-verbal.
SG-RN-003,signal,active chip styling,style.css:2160-2165,Highlights selected breadcrumb chip.
SG-RN-004,signal,patientivo focus styling,style.css:5302-5305,Temporarily highlights selected branch output block.
BND-RN-001,boundary,candidate admission boundary,src/ui/rendering/rendering.js:4359-4385,Strips absolutive suffix and checks intermediary consonant.
BND-RN-002,boundary,legacy generation boundary,data/static_modes.json:18-97,Visible Nawat route still uses legacy metadata internally.
BND-RN-003,boundary,particle unbuilt boundary,data/static_modes.json:12-16,Particle mode exists but no current breadcrumb route is built.
BND-RN-004,boundary,European adjective scope boundary,data/static_modes.json:18-97,Current Nawat tracks cover four of nine European-convention adjective circuits only.
